id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,string_field_10
25046,Men,Accessories,Accessories,Accessory Gift Set,Blue,Winter,2015,Formal,Lino Perros Men Formal Yellow Accessory Gift Set,
25057,Men,Accessories,Accessories,Accessory Gift Set,Yellow,Winter,2015,Formal,Lino Perros Men Formal Yellow Accessory Gift Set,
19926,Men,Accessories,Accessories,Accessory Gift Set,Black,Fall,2011,Formal,Reid & Taylor Men Formal Black Tie+Cufflink+Pocket square - Combo Pack,
19934,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011,Formal,Reid & Taylor Men Formal Blue  Tie+Cufflink+Pocket square - Combo Pack,
19929,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011,Formal,Reid & Taylor Men Formal Blue Tie+Cufflink+Pocket square - Combo Pack,
19930,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011,Formal,Reid & Taylor Men Formal Blue Tie+Cufflink+Pocket square - Combo Pack,
19937,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011,Formal,Reid & Taylor Men Formal Blue Tie+Cufflink+Pocket square - Combo Pack,
19936,Men,Accessories,Accessories,Accessory Gift Set,Brown,Fall,2011,Formal,Reid & Taylor Men Formal Brown Tie+Cufflink+Pocket square - Combo Pack,
19932,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Fall,2011,Formal,Reid & Taylor Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack,
19931,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Fall,2011,Formal,Reid & Taylor Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack,
19935,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011,Formal,Reid & Taylor Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,
19933,Men,Accessories,Accessories,Accessory Gift Set,Red,Fall,2011,Formal,Reid & Taylor Men Formal Red Tie+Cufflink+Pocket square - Combo Pack,
23114,Men,Accessories,Accessories,Accessory Gift Set,Black,Fall,2011,Formal,Turtle Men Formal Black Tie, Cufflink and Pocket Square Combo Set
23103,Men,Accessories,Accessories,Accessory Gift Set,Black,Fall,2011,Formal,Turtle Men Formal Black Tie, Cufflink and Pocket Square Combo Set
23115,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011,Formal,Turtle Men Formal Blue Tie, Cufflink and Pocket Square Combo Set
23110,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011,Formal,Turtle Men Formal Blue Tie, Cufflink and Pocket Square Combo Set
23117,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011,Formal,Turtle Men Formal Blue Tie, Cufflink and Pocket Square Combo Set
23102,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011,Formal,Turtle Men Formal Blue Tie Cufflink & Pocket Square Set,
23106,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Winter,2011,Formal,Turtle Men Formal Maroon Accessory Gift Set,
23100,Men,Accessories,Accessories,Accessory Gift Set,Navy Blue,Fall,2011,Formal,Turtle Men Formal Navy Blue Tie, Cufflink and Pocket Square Combo Set
23101,Men,Accessories,Accessories,Accessory Gift Set,Pink,Fall,2011,Formal,Turtle Men Formal Pink Tie, Cufflink and Pocket Square Combo Set
23108,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011,Formal,Turtle Men Formal Purple Tie, Cufflink and Pocket Square Combo Set
